last,first,instructor_avg,course_avg,overall_avg,courses,confidence
Zatirka,Brendon,4.12,4.1,4.109999999999999,['HUM200'],2
Zawojewski,Judith,,,,"['MSED552', 'MSED501', 'MSED400', 'MATH420']",
Zazi,George,4.45,4.29,4.37,"['MATH152', 'MATH251', 'MATH252', 'BME422', 'MATH151', 'MATH148']",32
Zdunek,Kenneth,4.13,4.42,4.275,['ECE504'],1
Zeman,Gary,4.86,4.62,4.74,"['PHYS576', 'PHYS577']",2
Zeng,Lulu,3.88,4.19,4.035,"['MSF534', 'MSF554']",2
Zhang,Chunbo,3.51,3.68,3.5949999999999998,"['BIOL526', 'BIOL430']",3
Zhang,Kuilin,2.8,3.6,3.2,['CAE543'],1
Zhang,Wei,4.43,4.38,4.404999999999999,"['BIOL562', 'FPE593', 'MSF502', 'FPE504', 'FST504', 'FDSN504']",10
Zhang,Yu-Zhu,3.82,3.77,3.795,"['BIOL446', 'BIOL519']",3
Zhang-Sun,Hong,4.76,4.33,4.545,['CS595'],2
Zhao,Jialin,4.8,4.8,4.8,['BUS102'],1
Zheng,Yong,4.33,4.67,4.5,"['ITMD510', 'ITMD523', 'ITMD525', 'IT']",1
Zhong,Qingchang,4.87,4.8,4.835,"['ECE550', 'ECE533']",2
Zhou,Chi,4.47,4.47,4.47,"['ECE513', 'ECE504', 'ECE438', 'ECE406']",20
Zhou,John,3.95,3.9,3.925,"['BIOL114', 'BIOL431', 'BIOL430', 'BIOL109', 'BME405']",5
Zhou,Zheng,3.78,3.65,3.715,['BUS321'],1
Zhu,Junjie,,,,['ENVE404'],
Ziegler,Eric,4.75,4.13,4.4399999999999995,['ARCH230'],1
Zion,Benjamin,4.09,3.83,3.96,"['CHEM122', 'CHEM344', 'CHEM125', 'CHEM343']",13
Zitlow,Ronald,4.5,4.58,4.54,['PA522'],1
Zook,Julie,,,,['PSYC588'],
Zoruba,Sergio,4.31,4.38,4.345,['CAE431'],1
Zummersch,Martin,3.82,3.73,3.775,['PA580'],1
Zysk,Adam,,,,['BME439'],
